Date of Sale,Address,Location,Living Area,Room,Ancillary Areas(),Plot,Closing Price
23 november 2017,Sjöhåla 580,"Kovikshamn,
          Kungälvs kommun",94,5,+ 87 m²,1 068 m² tomt,Slutpris 3 100 000 kr
18 november 2017,Galeasgatan 15,"Kungälv,
          Kungälvs kommun",103,5,+ 64 m²,610 m² tomt,+7 %
17 november 2017,Västerhöjdsvägen 36,"Kärna,
          Kungälvs kommun",107,5,+ 80 m²,258 m² tomt,Slutpris 3 850 000 kr
16 november 2017,Gråstensvägen 19,"Kode Halltorp,
          Kungälvs kommun",94,5,+ 80 m²,1 197 m² tomt,+3 %
16 november 2017,Hägnan 135,"KAREBY,
          Kungälvs kommun",235,6,+ 50 m²,104 335 m² tomt,Slutpris 4 000 000 kr
15 november 2017,Rishammarvägen 17,"Kareby,
          Kungälvs kommun",120,6,+ 80 m²,1 142 m² tomt,+5 %
10 november 2017,Nygatan 14,"Marstrand - Koön,
          Kungälvs kommun",167,6,+ 82 m²,677 m² tomt,Slutpris 3 200 000 kr
5 november 2017,Granndalen 7,"Lycke,
          Kungälvs kommun",50,2,+ 100 m²,1 465 m² tomt,±0 %
1 november 2017,Skårby 670,"Kareby,
          Kungälvs kommun",143,6,+ 59 m²,4 813 m² tomt,Slutpris 8 800 000 kr
1 november 2017,Kodevägen 3,"KODE,
          Kungälvs kommun",150,7,+ 20 m²,2 025 m² tomt,+4 %
31 oktober 2017,Matskärsvägen 12A,"Lycke,
          Kungälvs kommun",145,6,+ 20 m²,249 m² tomt,Slutpris 4 375 000 kr
31 oktober 2017,Årsnäs 290,"Årsnäs,
          Kungälvs kommun",167,5,+ 11 m²,2 558 m² tomt,+12 %
27 oktober 2017,Staby 350,"Kärna,
          Kungälvs kommun",110,4,+ 90 m²,911 m² tomt,Slutpris 10 800 000 kr
27 oktober 2017,Vråstigen 6,"Överön / Vråkärr,
          Kungälvs kommun",100,3,+ 18 m²,1 453 m² tomt,-10 %
26 oktober 2017,Bergkristallvägen 23,"Kode,
          Kungälvs kommun",130,5,+ 40 m²,504 m² tomt,Slutpris 1 875 000 kr
23 oktober 2017,Östra Gatan 9,"Centrum,
          Kungälvs kommun",325,10,+ 37 m²,359 m² tomt,±0 %
21 oktober 2017,Kållen 160,"Norrmannebo,
          Kungälvs kommun",88,4,+ 100 m²,1 819 m² tomt,Slutpris 3 000 000 kr
20 oktober 2017,Fredkullagatan 8,"Komarken,
          Kungälvs kommun",175,6,+ 147 m²,741 m² tomt,-8 %
20 oktober 2017,Jakobsvägen 7,"Kode,
          Kungälvs kommun",188,3,+ 100 m²,1 324 m² tomt,Slutpris 4 300 000 kr
16 oktober 2017,Mjölnarvägen 13,"Diseröd,
          Kungälvs kommun",158,7,+ 20 m²,899 m² tomt,+15 %
13 oktober 2017,Klövergången 15,"Centrum,
          Kungälvs kommun",125,4,+ 60 m²,401 m² tomt,Slutpris 4 500 000 kr
13 oktober 2017,Kulperödsvägen 5A,"Gullbringa,
          Kungälvs kommun",100,5,+ 33 m²,450 m² tomt,±0 %
13 oktober 2017,Stora Ryr 130,"Lycke,
          Kungälvs kommun",80,5,+ 72 m²,2 270 m² tomt,Slutpris 4 950 000 kr
12 oktober 2017,Röd 140,"Kareby,
          Kungälvs kommun",122,4,+ 12 m²,2 052 m² tomt,±0 %
12 oktober 2017,Smaragdvägen 48,"Kode,
          Kungälvs kommun",133,5,+ 8 m²,368 m² tomt,Slutpris 2 425 000 kr
10 oktober 2017,Ulvesund 405,"Ytterby - Ulvesund,
          Kungälvs kommun",72,3,+ 6 m²,681 m² tomt,+10 %
9 oktober 2017,Åsebyberg 853,"Åseby,
          Kungälvs kommun",137,5,+ 99 m²,1 462 m² tomt,Slutpris 2 475 000 kr
